"filename", "language", "C++", "GLSL", "Lua", "Markdown", "Batch", "Ini", "comment", "blank", "total"
"c:\Users\me\Documents\cs\source\Weapon_UI\cs_game_freezes.h", "C++", 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\me\Documents\cs\source\Weapon_UI\cs_weapon_ui.cpp", "C++", 92, 0, 0, 0, 0, 0, 0, 25, 117
"c:\Users\me\Documents\cs\source\Weapon_UI\cs_weapon_ui.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\me\Documents\cs\source\background\cs_background_Load.cpp", "C++", 33, 0, 0, 0, 0, 0, 4, 8, 45
"c:\Users\me\Documents\cs\source\background\cs_background_Load.h", "C++", 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\me\Documents\cs\source\data\cs_data.cpp", "C++", 115, 0, 0, 0, 0, 0, 0, 16, 131
"c:\Users\me\Documents\cs\source\data\cs_data.h", "C++", 49, 0, 0, 0, 0, 0, 0, 10, 59
"c:\Users\me\Documents\cs\source\include\imconfig.h", "C++", 1, 0, 0, 0, 0, 0, 123, 24, 148
"c:\Users\me\Documents\cs\source\include\imgui.cpp", "C++", 12999, 0, 0, 0, 0, 0, 3395, 1781, 18175
"c:\Users\me\Documents\cs\source\include\imgui.h", "C++", 2466, 0, 0, 0, 0, 0, 1352, 386, 4204
"c:\Users\me\Documents\cs\source\include\imgui_demo.cpp", "C++", 8535, 0, 0, 0, 0, 0, 1349, 1065, 10949
"c:\Users\me\Documents\cs\source\include\imgui_draw.cpp", "C++", 5290, 0, 0, 0, 0, 0, 791, 659, 6740
"c:\Users\me\Documents\cs\source\include\imgui_internal.h", "C++", 2971, 0, 0, 0, 0, 0, 608, 413, 3992
"c:\Users\me\Documents\cs\source\include\imgui_tables.cpp", "C++", 3088, 0, 0, 0, 0, 0, 989, 497, 4574
"c:\Users\me\Documents\cs\source\include\imgui_widgets.cpp", "C++", 8190, 0, 0, 0, 0, 0, 1435, 1190, 10815
"c:\Users\me\Documents\cs\source\include\imstb_rectpack.h", "C++", 324, 0, 0, 0, 0, 0, 229, 75, 628
"c:\Users\me\Documents\cs\source\include\imstb_textedit.h", "C++", 865, 0, 0, 0, 0, 0, 495, 168, 1528
"c:\Users\me\Documents\cs\source\include\imstb_truetype.h", "C++", 3485, 0, 0, 0, 0, 0, 1010, 591, 5086
"c:\Users\me\Documents\cs\source\include\rlImGui-main\README.md", "Markdown", 0, 0, 0, 63, 0, 0, 0, 28, 91
"c:\Users\me\Documents\cs\source\include\rlImGui-main\examples\asset_browser\asset_browser.cpp", "C++", 216, 0, 0, 0, 0, 0, 10, 54, 280
"c:\Users\me\Documents\cs\source\include\rlImGui-main\examples\asset_browser\asset_browser.h", "C++", 60, 0, 0, 0, 0, 0, 10, 25, 95
"c:\Users\me\Documents\cs\source\include\rlImGui-main\examples\asset_browser\imgui_utils.cpp", "C++", 60, 0, 0, 0, 0, 0, 20, 14, 94
"c:\Users\me\Documents\cs\source\include\rlImGui-main\examples\asset_browser\imgui_utils.h", "C++", 15, 0, 0, 0, 0, 0, 11, 7, 33
"c:\Users\me\Documents\cs\source\include\rlImGui-main\examples\asset_browser\item_view.h", "C++", 30, 0, 0, 0, 0, 0, 10, 8, 48
"c:\Users\me\Documents\cs\source\include\rlImGui-main\examples\asset_browser\item_views.cpp", "C++", 31, 0, 0, 0, 0, 0, 11, 11, 53
"c:\Users\me\Documents\cs\source\include\rlImGui-main\examples\asset_browser\main.cpp", "C++", 53, 0, 0, 0, 0, 0, 17, 25, 95
"c:\Users\me\Documents\cs\source\include\rlImGui-main\examples\docking_example.cpp", "C++", 64, 0, 0, 0, 0, 0, 29, 24, 117
"c:\Users\me\Documents\cs\source\include\rlImGui-main\examples\editor.cpp", "C++", 291, 0, 0, 0, 0, 0, 27, 87, 405
"c:\Users\me\Documents\cs\source\include\rlImGui-main\examples\imgui_style_example.cpp", "C++", 84, 0, 0, 0, 0, 0, 46, 32, 162
"c:\Users\me\Documents\cs\source\include\rlImGui-main\examples\simple.cpp", "C++", 49, 0, 0, 0, 0, 0, 23, 20, 92
"c:\Users\me\Documents\cs\source\include\rlImGui-main\extras\FA6FreeSolidFontData.h", "C++", 14902, 0, 0, 0, 0, 0, 2, 4, 14908
"c:\Users\me\Documents\cs\source\include\rlImGui-main\extras\IconsFontAwesome6.h", "C++", 1391, 0, 0, 0, 0, 0, 3, 3, 1397
"c:\Users\me\Documents\cs\source\include\rlImGui-main\imgui_impl_raylib.h", "C++", 9, 0, 0, 0, 0, 0, 39, 6, 54
"c:\Users\me\Documents\cs\source\include\rlImGui-main\premake-VisualStudio.bat", "Batch", 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\me\Documents\cs\source\include\rlImGui-main\premake-mingw.bat", "Batch", 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\me\Documents\cs\source\include\rlImGui-main\premake5.lua", "Lua", 0, 0, 189, 0, 0, 0, 0, 37, 226
"c:\Users\me\Documents\cs\source\include\rlImGui-main\raylib_premake5.lua", "Lua", 0, 0, 85, 0, 0, 0, 22, 28, 135
"c:\Users\me\Documents\cs\source\include\rlImGui-main\rlImGui.cpp", "C++", 734, 0, 0, 0, 0, 0, 37, 169, 940
"c:\Users\me\Documents\cs\source\include\rlImGui-main\rlImGui.h", "C++", 46, 0, 0, 0, 0, 0, 123, 27, 196
"c:\Users\me\Documents\cs\source\include\rlImGui-main\rlImGuiColors.h", "C++", 14, 0, 0, 0, 0, 0, 29, 5, 48
"c:\Users\me\Documents\cs\source\main\cs_main.cpp", "C++", 117, 0, 0, 0, 0, 0, 0, 21, 138
"c:\Users\me\Documents\cs\source\particles\cs_explosion.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 11, 59
"c:\Users\me\Documents\cs\source\particles\cs_explosion.h", "C++", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\me\Documents\cs\source\particles\cs_flame.cpp", "C++", 42, 0, 0, 0, 0, 0, 0, 12, 54
"c:\Users\me\Documents\cs\source\particles\cs_flame.h", "C++", 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\me\Documents\cs\source\particles\cs_spark.cpp", "C++", 32, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\me\Documents\cs\source\particles\cs_spark.h", "C++", 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\me\Documents\cs\source\physics\cs_physics.cpp", "C++", 57, 0, 0, 0, 0, 0, 0, 11, 68
"c:\Users\me\Documents\cs\source\physics\cs_physics.h", "C++", 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\me\Documents\cs\source\physics\cs_screen_shaking.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\me\Documents\cs\source\physics\cs_screen_shaking.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\me\Documents\cs\source\player\cs_attack.cpp", "C++", 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\me\Documents\cs\source\player\cs_attack.h", "C++", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\me\Documents\cs\source\player\cs_crash.cpp", "C++", 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\me\Documents\cs\source\player\cs_crash.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\me\Documents\cs\source\player\cs_move.cpp", "C++", 34, 0, 0, 0, 0, 0, 0, 11, 45
"c:\Users\me\Documents\cs\source\player\cs_move.h", "C++", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\me\Documents\cs\source\player\cs_player_character.cpp", "C++", 22, 0, 0, 0, 0, 0, 0, 8, 30
"c:\Users\me\Documents\cs\source\player\cs_player_character.h", "C++", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\me\Documents\cs\source\weapon\Weapon\cs_Cannon.cpp", "C++", 14, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\me\Documents\cs\source\weapon\Weapon\cs_Cannon.h", "C++", 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\me\Documents\cs\source\weapon\Weapon\cs_Machine.cpp", "C++", 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\me\Documents\cs\source\weapon\Weapon\cs_Machine.h", "C++", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\me\Documents\cs\source\weapon\Weapon\cs_Rotary.cpp", "C++", 38, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\me\Documents\cs\source\weapon\Weapon\cs_Rotary.h", "C++", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\me\Documents\cs\source\weapon\Weapon\cs_burst.cpp", "C++", 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\me\Documents\cs\source\weapon\Weapon\cs_burst.h", "C++", 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\me\Documents\cs\source\weapon\Weapon\cs_rpg.cpp", "C++", 55, 0, 0, 0, 0, 0, 0, 11, 66
"c:\Users\me\Documents\cs\source\weapon\Weapon\cs_rpg.h", "C++", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\me\Documents\cs\source\weapon\Weapon\cs_shotgun.cpp", "C++", 37, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\me\Documents\cs\source\weapon\Weapon\cs_shotgun.h", "C++", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\me\Documents\cs\source\weapon\Weapon_Use\cs_Cannon_Use.cpp", "C++", 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\me\Documents\cs\source\weapon\Weapon_Use\cs_Cannon_Use.h", "C++", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\me\Documents\cs\source\weapon\Weapon_Use\cs_Machine_Use.cpp", "C++", 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\me\Documents\cs\source\weapon\Weapon_Use\cs_Machine_Use.h", "C++", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\me\Documents\cs\source\weapon\Weapon_Use\cs_Rotary_Use.cpp", "C++", 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\me\Documents\cs\source\weapon\Weapon_Use\cs_Rotary_Use.h", "C++", 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\me\Documents\cs\source\weapon\Weapon_Use\cs_burst_Use.cpp", "C++", 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\me\Documents\cs\source\weapon\Weapon_Use\cs_burst_Use.h", "C++", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\me\Documents\cs\source\weapon\Weapon_Use\cs_rpg_Use.cpp", "C++", 29, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\me\Documents\cs\source\weapon\Weapon_Use\cs_rpg_Use.h", "C++", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\me\Documents\cs\source\weapon\Weapon_Use\cs_shotgun_Use.cpp", "C++", 25, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\me\Documents\cs\source\weapon\Weapon_Use\cs_shotgun_Use.h", "C++", 6, 0, 0, 0, 0, 0, 0, 3, 9
"Total", "-", 67679, 27, 274, 63, 4, 33, 12252, 7854, 88186
